Back to Contents,Data 1: Weekly U.S. Ending Stocks of Crude Oil in SPR  (Thousand Barrels)
Sourcekey,WCSSTUS1
Date,Weekly U.S. Ending Stocks of Crude Oil in SPR  (Thousand Barrels)
40417.0,726583
40424.0,726581
40431.0,726581
40438.0,726177
40445.0,726350
40452.0,726350
40459.0,726513
40466.0,726511
40473.0,726552
40480.0,726552
40487.0,726550
40494.0,726550
40501.0,726549
40508.0,726548
40515.0,726548
40522.0,726548
40529.0,726546
40536.0,726546
40543.0,726546
40550.0,726545
40557.0,726544
40564.0,726544
40571.0,726544
40578.0,726544
40585.0,726543
40592.0,726543
40599.0,726543
40606.0,726542
40613.0,726542
40620.0,726542
40627.0,726542
40634.0,726542
40641.0,726542
40648.0,726542
40655.0,726542
40662.0,726542
40669.0,726542
40676.0,726542
40683.0,726542
40690.0,726542
40697.0,726542
40704.0,726542
40711.0,726531
40718.0,726531
40725.0,726531
40732.0,726531
40739.0,726531
40746.0,724263
40753.0,719761
40760.0,717267
40767.0,711353
40774.0,706551
40781.0,701825
40788.0,696939
40795.0,695939
40802.0,695939
40809.0,695953
40816.0,695953
40823.0,695956
40830.0,695951
40837.0,695951
40844.0,695951
40851.0,695951
40858.0,695950
40865.0,695951
40872.0,695951
40879.0,695951
40886.0,695951
40893.0,695951
40900.0,695951
40907.0,695951
40914.0,695951
40921.0,695951
40928.0,695951
40935.0,695951
40942.0,695951
40949.0,695951
40956.0,695951
40963.0,695951
40970.0,695951
40977.0,695951
40984.0,695951
40991.0,695951
40998.0,695951
41005.0,695951
41012.0,695951
41019.0,695951
41026.0,695951
41033.0,695951
41040.0,695951
41047.0,695951
41054.0,695951
41061.0,695951
41068.0,695951
41075.0,695951
41082.0,695951
41089.0,695951
41096.0,695951
41103.0,695951
41110.0,695951
41117.0,695950
41124.0,695950
41131.0,695950
41138.0,695950
41145.0,695950
41152.0,695950
41159.0,694950
41166.0,694952
41173.0,694952
41180.0,694952
41187.0,694952
41194.0,694952
41201.0,694952
41208.0,694952
41215.0,694952
41222.0,694952
41229.0,694952
41236.0,694952
41243.0,694952
41250.0,694952
41257.0,694952
41264.0,694952
41271.0,694952
41278.0,694952
41285.0,695267
41292.0,695267
41299.0,695460
41306.0,695807
41313.0,695969
41320.0,695969
41327.0,695969
41334.0,695969
41341.0,695969
41348.0,695969
41355.0,695969
41362.0,695969
41369.0,695969
41376.0,695969
41383.0,695969
41390.0,695969
41397.0,695969
41404.0,695969
41411.0,695969
41418.0,695969
41425.0,695969
41432.0,695969
41439.0,695969
41446.0,695969
41453.0,695969
41460.0,695969
41467.0,695969
41474.0,695969
41481.0,695969
41488.0,695969
41495.0,695969
41502.0,695969
41509.0,695969
41516.0,695969
41523.0,695969
41530.0,695969
41537.0,695969
41544.0,695969
41551.0,695969
41558.0,695969
41565.0,695969
41572.0,695969
41579.0,695969
41586.0,695969
41593.0,695969
41600.0,695969
41607.0,695969
41614.0,695969
41621.0,695969
41628.0,695969
41635.0,695969
41642.0,695969
41649.0,695969
41656.0,695969
41663.0,695969
41670.0,695969
41677.0,695969
41684.0,695969
41691.0,695969
41698.0,695969
41705.0,695969
41712.0,695969
41719.0,695969
41726.0,695969
41733.0,695729
41740.0,695106
41747.0,694568
41754.0,693613
41761.0,692864
41768.0,691520
41775.0,690971
41782.0,690971
41789.0,690971
41796.0,690971
41803.0,690972
41810.0,690972
41817.0,690972
41824.0,690972
41831.0,690972
41838.0,690972
41845.0,690972
41852.0,690972
41859.0,690972
41866.0,690972
41873.0,690972
41880.0,690972
41887.0,690972
41894.0,690972
41901.0,690972
41908.0,690970
41915.0,690969
41922.0,690968
41929.0,690968
41936.0,690967
41943.0,690967
41950.0,690966
41957.0,690966
41964.0,690966
41971.0,690965
41978.0,690963
41985.0,690963
41992.0,690963
41999.0,690963
42006.0,690961
42013.0,690959
42020.0,690958
42027.0,690957
42034.0,690957
42041.0,690956
42048.0,690955
42055.0,690955
42062.0,690955
42069.0,690953
42076.0,690953
42083.0,690952
42090.0,690952
42097.0,690952
42104.0,690950
42111.0,690950
42118.0,690948
42125.0,690948
42132.0,690947
42139.0,691260
42146.0,691847
42153.0,692346
42160.0,692345
42167.0,692944
42174.0,693294
42181.0,693692
